Ticker,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,Unnamed: 12,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
ABJC,S1,2018,XOF,5536146000.0,799452000.0,-39072000.0,760380000.0,,571843000.0,,,,,,,,,
ABJC,S1,2017,XOF,6505009000.0,766052000.0,-46168000.0,719884000.0,,540034000.0,,,,,,,,,
ABJC,S1,2016,XOF,5736130000.0,738831000.0,-56375000.0,682456000.0,,513565000.0,,,,,,,,,
ABJC,T1,2024,XOF,3078618000.0,,,484925000.0,,371355000.0,,,,,,,,,
ABJC,T1,2023,XOF,2686955000.0,,,368505000.0,,293221000.0,,,,,,,,,
ABJC,T1,2022,XOF,2312139000.0,,,472178000.0,,354300000.0,,,,,,,,,
ABJC,T1,2017,XOF,3274372000.0,,,459205000.0,,319794000.0,,,,,,,,,
ABJC,T1,2016,XOF,2817913000.0,,,357599000.0,,242008000.0,,,,,,,,,
ABJC,T3,2024,XOF,9265350000.0,,,1515648000.0,,1130926000.0,,,,,,,,,
ABJC,T3,2023,XOF,8423103000.0,,,1517613000.0,,1182024000.0,,,,,,,,,
ABJC,T3,2022,XOF,7811642000.0,,,1677939000.0,,1258015000.0,,,,,,,,,
BICB,An,2024,XOF,,32660000000.0,,,,30341000000.0,1520447000000.0,,45207000000.0,30250000000.0,-2411000000.0,856095000000.0,926089000000.0,,
BICB,An,2023,XOF,,28024000000.0,,,,27270000000.0,1340710000000.0,,39196000000.0,27438000000.0,586000000.0,688120000000.0,875409000000.0,,
BICB,An,2022,XOF,,11100000000.0,,,,10705000000.0,1000782000000.0,,24209000000.0,14344000000.0,-3244000000.0,410760000000.0,671820000000.0,,
BICB,An,2021,XOF,,5919000000.0,,,,5776000000.0,627594000000.0,,14898000000.0,7414000000.0,-1495000000.0,143368000000.0,357723000000.0,,
BICB,An,2020,XOF,,1200000000.0,,,,1200000000.0,264100000000.0,,7000000000.0,400000000.0,800000000.0,81600000000.0,165900000000.0,,
BICB,S1,2024,XOF,,11224000000.0,,,,10784000000.0,1403787000000.0,,20084000000.0,12720000000.0,-1495000000.0,737469000000.0,889307000000.0,,
BICB,S1,2023,XOF,,11136000000.0,,,,10806000000.0,1156990000000.0,,16991000000.0,10786000000.0,350000000.0,506839000000.0,679332000000.0,,
BICC,An,2024,XOF,,28768000000.0,,,,26226000000.0,1015578000000.0,,68063000000.0,30077000000.0,-1309000000.0,564928000000.0,819426000000.0,,
BICC,An,2023,XOF,,15540000000.0,,,,16694000000.0,920563000000.0,,55506000000.0,16814000000.0,-1274000000.0,489193000000.0,778277000000.0,,
BICC,An,2022,XOF,,14004000000.0,,,,12391000000.0,926252000000.0,,47275000000.0,14809000000.0,-805000000.0,478323000000.0,805335000000.0,,
BICC,An,2021,XOF,,11036000000.0,,,,9603000000.0,847724000000.0,,44167000000.0,13363000000.0,-2327000000.0,424284000000.0,737120000000.0,,
BICC,An,2020,XOF,,4664000000.0,,,,4672000000.0,831386000000.0,,45315000000.0,10190000000.0,5526000000.0,481680000000.0,715561000000.0,,
BICC,An,2019,XOF,,-3612000000.0,,,,-3612000000.0,748861000000.0,,45937000000.0,13880000000.0,-17492000000.0,442032000000.0,631614000000.0,,
BICC,An,2018,XOF,,11738000000.0,,,,9793000000.0,677786000000.0,,48787000000.0,16424000000.0,-4685000000.0,494499000000.0,572497000000.0,,
BICC,An,2017,XOF,,8450000000.0,,,,9287000000.0,647647000000.0,,48767000000.0,18748000000.0,-9972000000.0,440533000000.0,549423000000.0,,
BICC,An,2016,XOF,,,,,,12047000000.0,643083000000.0,,42323000000.0,17466000000.0,,439441000000.0,513656000000.0,,
BICC,An,2015,XOF,,,,,,9202000000.0,594718000000.0,,38328000000.0,12794000000.0,,369896000000.0,517428000000.0,,
BICC,S1,2024,XOF,,,,,,11405000000.0,,,31852000000.0,13159000000.0,-453000000.0,507396000000.0,716745000000.0,12709000000.0,
BICC,S1,2023,XOF,,,,,,7226000000.0,,,25813000000.0,8029000000.0,208000000.0,474557000000.0,784329000000.0,8274000000.0,
BICC,S1,2022,XOF,,,,,,6105000000.0,,,23146000000.0,7611000000.0,-464000000.0,432535000000.0,656639000000.0,7147000000.0,
BICC,S1,2021,XOF,,,,,,4413000000.0,,,20949000000.0,6170000000.0,-964000000.0,418627000000.0,715136000000.0,5206000000.0,
BICC,S1,2020,XOF,,,,,,4715000000.0,,,23380000000.0,7297000000.0,-1587000000.0,465304000000.0,706894000000.0,5710000000.0,
BICC,S1,2019,XOF,,,,,,704000000.0,,,23027000000.0,6057000000.0,-5182000000.0,483902000000.0,648500000000.0,875000000.0,
BICC,S1,2018,XOF,,,,,,4220000000.0,,,24257000000.0,6867000000.0,-1861000000.0,482902000000.0,561902000000.0,5008000000.0,
BICC,S1,2017,XOF,,,,,,5994000000.0,,,22376000000.0,8296000000.0,-323000000.0,,,7492000000.0,
BICC,S1,2016,XOF,,,,,,5842000000.0,,,20884000000.0,7523000000.0,-67000000.0,,,7303000000.0,
BICC,T1,2024,XOF,,,,,,6512000000.0,,,16591000000.0,,,488237000000.0,750568000000.0,7514000000.0,
BICC,T1,2023,XOF,,,,,,1892000000.0,,,12004000000.0,,,463969000000.0,813571000000.0,1995000000.0,
BICC,T1,2022,XOF,,,,,,2529000000.0,,,10957000000.0,,,436711000000.0,667295000000.0,2733000000.0,
BICC,T1,2021,XOF,,,,,,2126000000.0,,,10544000000.0,,,457885000000.0,736951000000.0,2623000000.0,
BICC,T2,2022,XOF,,,,,,3576000000.0,,,12189000000.0,,,432556000000.0,656639000000.0,4414000000.0,
BICC,T2,2021,XOF,,,,,,2287000000.0,,,10404000000.0,,,418627000000.0,715136000000.0,2583000000.0,
BICC,T3,2024,XOF,,,,,,18172000000.0,,,49942000000.0,,,546747000000.0,745524000000.0,20571000000.0,
BICC,T3,2023,XOF,,,,,,12061000000.0,,,40690000000.0,,,469248000000.0,680838000000.0,13540000000.0,
BICC,T3,2022,XOF,,,,,,9742000000.0,,,35027000000.0,,,446478000000.0,777936000000.0,11254000000.0,
BICC,T3,2021,XOF,,,,,,3168000000.0,,,11763000000.0,,,436311000000.0,688453000000.0,3832000000.0,
BICC,T3,2020,XOF,,,,,,6841000000.0,,,33253000000.0,11090000000.0,-3062000000.0,471992000000.0,706921000000.0,8028000000.0,
BICC,T3,2017,XOF,,,,,,8712000000.0,,,33886000000.0,12744000000.0,,,,10889000000.0,
BICC,T3,2016,XOF,,,,,,8416000000.0,,,31179000000.0,11467000000.0,,,,10520000000.0,
BICC,T4,2021,XOF,,,,,,2551000000.0,,,11455000000.0,,,424989000000.0,734922000000.0,2702000000.0,
BICC,T4,2020,XOF,,,,,,-2168000000.0,,,10453000000.0,,,481680000000.0,711875000000.0,-3320000000.0,
BNBC,An,2024,XOF,45312422000.0,1193258000.0,-1276932000.0,-83674000.0,8521000.0,7313000.0,50176046000.0,,,,,,,,
BNBC,An,2023,XOF,45955470000.0,1571000000.0,-703000000.0,868000000.0,5000000.0,35581000.0,53173000000.0,,,,,,,,
BNBC,An,2022,XOF,51384000000.0,3017000000.0,-574000000.0,2443000000.0,12000000.0,1809000000.0,54652000000.0,,,,,,,,
BNBC,An,2021,XOF,44428368000.0,2656681000.0,-470970000.0,2185712000.0,8959000.0,1598214000.0,45958748000.0,,,,,,,,
BNBC,An,2020,XOF,39472000000.0,1604000000.0,-573000000.0,1031000000.0,9000000.0,668000000.0,42827000000.0,,,,,,,,
BNBC,An,2019,XOF,41285545000.0,944286000.0,-749364000.0,194923000.0,6348000.0,423125000.0,45293541000.0,,,,,,,,
BNBC,An,2018,XOF,44349634000.0,2528676000.0,-666691000.0,1861985000.0,19341000.0,1650101000.0,48170096000.0,,,,,,,,
BNBC,An,2017,XOF,41351033000.0,3419661000.0,-441431000.0,2978230000.0,-251656000.0,2101853000.0,39880242000.0,,,,,,,,
BNBC,An,2016,XOF,44600727000.0,3723202000.0,-490845000.0,3222357000.0,-43923000.0,2393412000.0,37704140000.0,,,,,,,,
BNBC,An,2015,XOF,44696928000.0,3511022000.0,-456531000.0,3054491000.0,190195000.0,2343210000.0,38685920000.0,,,,,,,,
BNBC,S1,2024,XOF,21051823000.0,400009000.0,-605311000.0,-205301000.0,,-85843000.0,,,,,,,,-203310000.0,
BNBC,S1,2023,XOF,23343111000.0,605154000.0,-229534000.0,375619000.0,,295671000.0,,,,,,,,375552000.0,
BNBC,S1,2022,XOF,25470395000.0,1876429000.0,-243843000.0,1632586000.0,,1230606000.0,,,,,,,,1682472000.0,
BNBC,S1,2021,XOF,23087630000.0,1482260000.0,-264650000.0,1217600000.0,,931140000.0,,,,,,,,1241530000.0,
BNBC,S1,2020,XOF,19005530000.0,846780000.0,-329290000.0,517490000.0,,389550000.0,,,,,,,,519400000.0,
BNBC,S1,2019,XOF,21708014000.0,967391000.0,-327515000.0,,-1529000.0,528910000.0,,,,,,,,638346000.0,
BNBC,S1,2018,XOF,21917361000.0,1379935000.0,-330503000.0,,8685000.0,,,,,,,,,1058117000.0,
BNBC,S1,2017,XOF,20155263000.0,1313543000.0,-214446000.0,,6574000.0,,,,,,,,,1105671000.0,
BNBC,S1,2016,XOF,22923237000.0,1116739000.0,-248109000.0,,25655000.0,,,,,,,,,1142394000.0,
BNBC,T1,2024,XOF,10824381000.0,,,-101574000.0,,-76181000.0,,,,,,,,,
BNBC,T1,2023,XOF,12386377000.0,,,689773000.0,,516579000.0,,,,,,,,,
BNBC,T1,2022,XOF,12841154000.0,,,1035508000.0,,776631000.0,,,,,,,,,
BNBC,T1,2021,XOF,11403920000.0,654000000.0,-133000000.0,520794000.0,,390595000.0,,,,,,,,521000000.0,
BNBC,T1,2020,XOF,10254720000.0,497378000.0,-172287000.0,,,,,,,,,,,325091000.0,
BNBC,T1,2019,XOF,11321340000.0,690286000.0,-146626000.0,543659000.0,-1529000.0,406597000.0,,,,,,,,542130000.0,
BNBC,T1,2018,XOF,11791859000.0,,,748484000.0,,561819000.0,,,,,,,,,
BNBC,T1,2017,XOF,10002868000.0,,,723860000.0,,548200000.0,,,,,,,,,
BNBC,T3,2024,XOF,32755862000.0,,,-480034000.0,,-31576000.0,,,,,,,,,
BNBC,T3,2023,XOF,34428743000.0,,,402534000.0,,454467000.0,,,,,,,,,
BNBC,T3,2022,XOF,38361914000.0,,,2341240000.0,,1805367000.0,,,,,,,,,
BNBC,T3,2021,XOF,33829200000.0,2231540000.0,-367630000.0,1863910000.0,,1422090000.0,,,,,,,,1888290000.0,
BNBC,T3,2020,XOF,29175865000.0,974597000.0,-492406000.0,482190000.0,2500000.0,363520000.0,,,,,,,,484691000.0,
BNBC,T3,2019,XOF,31114016000.0,1108326000.0,-494881000.0,,-652000.0,,,,,,,,,612793000.0,
BNBC,T3,2018,XOF,33301656000.0,2103279000.0,-491890000.0,,7990000.0,,,,,,,,,1619379000.0,
BNBC,T3,2017,XOF,30847623000.0,,,1662112000.0,,1251514000.0,,,,,,,,,
BNBC,T3,2016,XOF,34753834000.0,,,2099299000.0,,1594166000.0,,,,,,,,,
BOAB,An,2024,XOF,,21455000000.0,,,,19647000000.0,940187000000.0,,46527000000.0,21580000000.0,-124000000.0,408396000000.0,734344000000.0,,
BOAB,An,2023,XOF,,23013000000.0,,,,21529000000.0,906824000000.0,,47832000000.0,22307000000.0,706000000.0,401276000000.0,646519000000.0,,
BOAB,An,2022,XOF,,23197000000.0,,,,19143000000.0,907782000000.0,,46413000000.0,19529000000.0,3668000000.0,387381000000.0,648844000000.0,,
BOAB,An,2021,XOF,,20407000000.0,,,,16664000000.0,884426000000.0,,45259000000.0,19795000000.0,611000000.0,395862000000.0,645872000000.0,,
BOAB,An,2020,XOF,,13970000000.0,,,,13312000000.0,902792000000.0,,45286000000.0,19456000000.0,-5486000000.0,402568000000.0,613302000000.0,,
BOAB,An,2019,XOF,,15878000000.0,,,,15002000000.0,920808000000.0,,41388000000.0,18698000000.0,-2820000000.0,437029000000.0,621296000000.0,,
BOAB,An,2018,XOF,,13289000000.0,,,,12724000000.0,861015000000.0,,39387000000.0,16858000000.0,-3570000000.0,423895000000.0,579129000000.0,,
BOAB,An,2017,XOF,,13098000000.0,,,,12523000000.0,972549000000.0,,42156000000.0,18494000000.0,-5396000000.0,401024000000.0,559456000000.0,,
BOAB,An,2016,XOF,,,,,,16139000000.0,932977000000.0,,39335000000.0,18728000000.0,,334669000000.0,538994000000.0,,
BOAB,An,2015,XOF,,,,,,12533000000.0,850524000000.0,,39186000000.0,20061000000.0,,262121000000.0,516683000000.0,,
BOAB,S1,2024,XOF,,,,,,10929000000.0,,,23185000000.0,11731000000.0,-337000000.0,,,11688000000.0,
BOAB,S1,2023,XOF,,,,,,12538000000.0,,,23991000000.0,12237000000.0,1414000000.0,,,13653000000.0,
BOAB,S1,2022,XOF,,,,,,10413000000.0,,,21803000000.0,10393000000.0,744000000.0,,,10782000000.0,
BOAB,S1,2021,XOF,,,,,,9054000000.0,,,22242000000.0,11213000000.0,-499000000.0,,,9317000000.0,
BOAB,S1,2020,XOF,,,,,,8081000000.0,,,22950000000.0,11481000000.0,-3153000000.0,,,8404000000.0,
BOAB,S1,2019,XOF,,,,,,7957000000.0,,,19448000000.0,8650000000.0,-367000000.0,,,8283000000.0,
BOAB,S1,2018,XOF,,,,,,6805000000.0,,,19911000000.0,9223000000.0,-2145000000.0,,,7089000000.0,
BOAB,S1,2017,XOF,,,,,,7281000000.0,,,17857000000.0,7720000000.0,-2634000000.0,,,7582000000.0,
BOAB,S1,2016,XOF,,,,,,7717000000.0,,,17930000000.0,8004000000.0,64000000.0,,,8124000000.0,
BOAB,T1,2024,XOF,,,,,,4843000000.0,,,10897000000.0,,,,,5010000000.0,
BOAB,T1,2023,XOF,,,,,,5844000000.0,,,11361000000.0,,,,,6451000000.0,
BOAB,T1,2022,XOF,,,,,,5135000000.0,,,10651000000.0,,,,,5600000000.0,
BOAB,T1,2021,XOF,,,,,,4357000000.0,,,10367000000.0,,,,,5101000000.0,
BOAB,T1,2020,XOF,,,,,,4146000000.0,,,11162000000.0,,,,,4742000000.0,
BOAB,T1,2019,XOF,,,,,,3303000000.0,,,9144000000.0,,,,,3583000000.0,
BOAB,T1,2018,XOF,,,,,,3202000000.0,,,9910000000.0,,,,,3359000000.0,
BOAB,T1,2017,XOF,,,,,,2904000000.0,,,8886000000.0,,,,,3052000000.0,
BOAB,T1,2016,XOF,,,,,,2203000000.0,,,8386000000.0,,,,,2412000000.0,
BOAB,T3,2024,XOF,,,,,,14015000000.0,,,34156000000.0,,,,,15081000000.0,
BOAB,T3,2023,XOF,,,,,,17018000000.0,,,35505000000.0,,,,,18492000000.0,
BOAB,T3,2022,XOF,,,,,,17189000000.0,,,34512000000.0,,,,,17738000000.0,
BOAB,T3,2021,XOF,,,,,,14778000000.0,,,33492000000.0,,,,,15195000000.0,
BOAB,T3,2020,XOF,,,,,,12023000000.0,,,34655000000.0,,,,,12588000000.0,
BOAB,T3,2019,XOF,,,,,,11003000000.0,,,30386000000.0,,,,,11475000000.0,
BOAB,T3,2018,XOF,,,,,,7596000000.0,,,29131000000.0,,,,,8023000000.0,
BOAB,T3,2017,XOF,,,,,,9772000000.0,,,28484000000.0,,,,,10242000000.0,
BOABF,An,2024,XOF,,25697000000.0,,,,22419000000.0,1079053000000.0,,57490000000.0,30000000000.0,-4303000000.0,587385000000.0,813312000000.0,,
BOABF,An,2023,XOF,,34234000000.0,,,,29063000000.0,1098276000000.0,,60576000000.0,34567000000.0,-332000000.0,655896000000.0,771212000000.0,,
BOABF,An,2022,XOF,,29304000000.0,,,,25477000000.0,1163300000000.0,,56646000000.0,32632000000.0,-3328000000.0,642663000000.0,875499000000.0,,
BOABF,An,2021,XOF,,24308000000.0,,,,21245000000.0,1073229000000.0,,50828000000.0,28784000000.0,-4476000000.0,557287000000.0,815760000000.0,,
BOABF,An,2020,XOF,,19852000000.0,,,,17608000000.0,988181000000.0,,47367000000.0,25127000000.0,-5275000000.0,554271000000.0,761161000000.0,,
BOABF,An,2019,XOF,,21327000000.0,,,,18511000000.0,867213000000.0,,42708000000.0,23391000000.0,-2063000000.0,527720000000.0,624663000000.0,,
BOABF,An,2018,XOF,,,,,,17293000000.0,790804000000.0,,39643000000.0,20846000000.0,-1089000000.0,513111000000.0,569049000000.0,,
BOABF,An,2017,XOF,,,,,,12713000000.0,752982000000.0,,36417000000.0,18854000000.0,-5605000000.0,425119000000.0,525972000000.0,,
BOABF,An,2016,XOF,,,,,,12443000000.0,714127000000.0,,33685000000.0,17513000000.0,,372418000000.0,430312000000.0,,
BOABF,An,2015,XOF,,,,,,12028000000.0,656797000000.0,,31317000000.0,17288000000.0,,349408000000.0,391924000000.0,,
BOABF,S1,2024,XOF,,,,,,13194000000.0,,,28659000000.0,15856000000.0,-479000000.0,,,15390000000.0,
BOABF,S1,2023,XOF,,,,,,15088000000.0,,,29853000000.0,17989000000.0,-138000000.0,,,17879000000.0,
BOABF,S1,2022,XOF,,,,,,12228000000.0,,,25926000000.0,15156000000.0,-890000000.0,,,14296000000.0,
BOABF,S1,2021,XOF,,,,,,11936000000.0,,,24175000000.0,13838000000.0,39000000.0,,,13856000000.0,
BOABF,S1,2020,XOF,,,,,,9295000000.0,,,23231000000.0,12655000000.0,2136000000.0,,,10529000000.0,
BOABF,S1,2019,XOF,,,,,,9124000000.0,,,20782000000.0,11602000000.0,972000000.0,,,10742000000.0,
BOABF,S1,2018,XOF,,,,,,7624000000.0,,,18698000000.0,10080000000.0,1433000000.0,,,8359000000.0,
BOABF,S1,2017,XOF,,,,,,6575000000.0,,,17308000000.0,8820000000.0,2117000000.0,,,6732000000.0,
BOABF,S1,2016,XOF,,,,,,6003000000.0,,,16132000000.0,8364000000.0,1201000000.0,,,6984000000.0,
BOABF,S2,2024,XOF,,,,,,22419000000.0,,,57490000000.0,30000000000.0,-4303000000.0,,,25744000000.0,
BOABF,S2,2023,XOF,,,,,,29063000000.0,,,60576000000.0,34567000000.0,-332000000.0,,,34304000000.0,
BOABF,S2,2022,XOF,,,,,,25477000000.0,,,56646000000.0,32632000000.0,-3328000000.0,,,29263000000.0,
BOABF,S2,2021,XOF,,,,,,21245000000.0,,,50828000000.0,28784000000.0,-4476000000.0,,,24388000000.0,
BOABF,S2,2020,XOF,,,,,,17608000000.0,,,47367000000.0,25132000000.0,-5275000000.0,,,19679000000.0,
BOABF,S2,2019,XOF,,,,,,18511000000.0,,,42727000000.0,23411000000.0,1089000000.0,,,21380000000.0,
BOABF,S2,2018,XOF,,,,,,17293000000.0,,,39643000000.0,20846000000.0,551000000.0,,,19812000000.0,
BOABF,S2,2017,XOF,,,,,,12713000000.0,,,36417000000.0,18854000000.0,5217000000.0,,,13249000000.0,
BOABF,T1,2024,XOF,,,,,,6230000000.0,,,13906000000.0,,,,,7351000000.0,
BOABF,T1,2023,XOF,,,,,,6821000000.0,,,14669000000.0,,,,,7939000000.0,
BOABF,T1,2022,XOF,,,,,,6015000000.0,,,12084000000.0,,,,,6975000000.0,
BOABF,T1,2021,XOF,,,,,,5075000000.0,,,11466000000.0,,,,,5895000000.0,
BOABF,T1,2020,XOF,,,,,,4266000000.0,,,10893000000.0,,,,,4854000000.0,
BOABF,T1,2019,XOF,,,,,,3541000000.0,,,9190000000.0,,,,,3983000000.0,
BOABF,T1,2018,XOF,,,,,,3799000000.0,,,9332000000.0,,,,,4145000000.0,
BOABF,T1,2017,XOF,,,,,,3002000000.0,,,8159000000.0,,,,,3439000000.0,
BOABF,T1,2016,XOF,,,,,,2837000000.0,,,8207000000.0,,,,,3255000000.0,
BOABF,T3,2024,XOF,,,,,,18594000000.0,,,42911000000.0,,,,,21300000000.0,
BOABF,T3,2023,XOF,,,,,,22299000000.0,,,44930000000.0,,,,,26407000000.0,
BOABF,T3,2022,XOF,,,,,,19046000000.0,,,40593000000.0,,,,,22195000000.0,
BOABF,T3,2021,XOF,,,,,,18002000000.0,,,37272000000.0,,,,,20802000000.0,
BOABF,T3,2020,XOF,,,,,,14013000000.0,,,34304000000.0,,,,,15898000000.0,
BOABF,T3,2019,XOF,,,,,,13306000000.0,,,31333000000.0,,,,,15649000000.0,
BOABF,T3,2018,XOF,,,,,,11370000000.0,,,28820000000.0,,,,,12586000000.0,
BOABF,T3,2017,XOF,,,,,,10740000000.0,,,26959000000.0,,,,,11201000000.0,
BOABF,T3,2016,XOF,,,,,,9077000000.0,,,24711000000.0,,,,,11178000000.0,
BOAC,An,2024,XOF,,39222000000.0,,,,32044000000.0,1075479000000.0,,72724000000.0,46014000000.0,-6792000000.0,432069000000.0,856274000000.0,,
BOAC,An,2023,XOF,,31018000000.0,,,,26075000000.0,938739000000.0,,60811000000.0,35842000000.0,-4824000000.0,453494000000.0,713574000000.0,,
BOAC,An,2022,XOF,,21900000000.0,,,,20069000000.0,843300000000.0,,47810000000.0,24637000000.0,-2737000000.0,383970000000.0,645297000000.0,,
BOAC,An,2021,XOF,,19862000000.0,,,,16638000000.0,714509000000.0,,41545000000.0,19904000000.0,-42000000.0,299695000000.0,547038000000.0,,
BOAC,An,2020,XOF,,14248000000.0,,,,14216000000.0,686536000000.0,,40811000000.0,19977000000.0,-5729000000.0,300781000000.0,455759000000.0,,
BOAC,An,2019,XOF,,14397000000.0,,,,14382000000.0,608499000000.0,,35375000000.0,15855000000.0,-1458000000.0,320521000000.0,384899000000.0,,
BOAC,An,2018,XOF,,11707000000.0,,,,11699000000.0,576928000000.0,,32833000000.0,13763000000.0,-2056000000.0,301414000000.0,379359000000.0,,
BOAC,An,2017,XOF,,9913000000.0,,,,9879000000.0,640023000000.0,,30063000000.0,13911000000.0,-3998000000.0,345450000000.0,407378000000.0,,
BOAC,An,2016,XOF,,,,,,10149000000.0,623026000000.0,,29006000000.0,14751000000.0,,294326000000.0,342367000000.0,,
BOAC,An,2015,XOF,,,,,,8240000000.0,607138000000.0,,25269000000.0,11806000000.0,,258983000000.0,301777000000.0,,
BOAC,S1,2024,XOF,,,,,,17639000000.0,,,36343000000.0,24262000000.0,-3018000000.0,461475000000.0,770778000000.0,21283000000.0,
BOAC,S1,2023,XOF,,,,,,16568000000.0,,,30279000000.0,18507000000.0,-954000000.0,463614000000.0,666430000000.0,17870000000.0,
BOAC,S1,2022,XOF,,,,,,8571000000.0,,,21880000000.0,10195000000.0,-379000000.0,303618000000.0,556022000000.0,8971000000.0,
BOAC,S1,2021,XOF,,,,,,9043000000.0,,,20399000000.0,9916000000.0,442000000.0,306520000000.0,548102000000.0,9513000000.0,
BOAC,S1,2020,XOF,,,,,,7312000000.0,,,19926000000.0,10034000000.0,-2342000000.0,330887000000.0,487444000000.0,7692000000.0,
BOAC,S1,2019,XOF,,,,,,6734000000.0,,,17097000000.0,7684000000.0,-655000000.0,321699000000.0,412649000000.0,7034000000.0,
BOAC,S1,2018,XOF,,,,,,6756000000.0,,,15727000000.0,7589000000.0,-813000000.0,273823000000.0,368945000000.0,6773000000.0,
BOAC,S1,2017,XOF,,,,,,5980000000.0,,,15205000000.0,7687000000.0,-1285000000.0,,,5997000000.0,
BOAC,S1,2016,XOF,,,,,,5091000000.0,,,14424000000.0,7465000000.0,-2435000000.0,,,5109000000.0,
BOAC,T1,2024,XOF,,,,,,9340000000.0,,,17528000000.0,11758000000.0,-1218000000.0,465697000000.0,686378000000.0,10540000000.0,
BOAC,T1,2023,XOF,,,,,,7100000000.0,,,14878000000.0,9213000000.0,35000000.0,414757000000.0,646669000000.0,7751000000.0,
BOAC,T1,2022,XOF,,,,,,5141000000.0,,,10615000000.0,,,303685000000.0,549615000000.0,5391000000.0,
BOAC,T1,2021,XOF,,,,,,5590000000.0,,,10519000000.0,,,299102000000.0,504886000000.0,5740000000.0,
BOAC,T1,2020,XOF,,,,,,4457000000.0,,,10104000000.0,,,316279000000.0,396335000000.0,4538000000.0,
BOAC,T1,2019,XOF,,,,,,2697000000.0,,,7956000000.0,,,297669000000.0,393154000000.0,2846000000.0,
BOAC,T1,2018,XOF,,,,,,3341000000.0,,,8303000000.0,,,,,3350000000.0,
BOAC,T1,2017,XOF,,,,,,2614000000.0,,,7090000000.0,,,,,2623000000.0,
BOAC,T1,2016,XOF,,,,,,2513000000.0,,,7030000000.0,,,,,2522000000.0,
BOAC,T3,2024,XOF,,,,,,26293000000.0,,,53371000000.0,34460000000.0,-3762000000.0,468926000000.0,725803000000.0,30737000000.0,
BOAC,T3,2023,XOF,,,,,,25058000000.0,,,46003000000.0,28376000000.0,-1617000000.0,444446000000.0,649964000000.0,27011000000.0,
BOAC,T3,2022,XOF,,,,,,15134000000.0,,,34193000000.0,16661000000.0,-690000000.0,323812000000.0,592704000000.0,15684000000.0,
BOAC,T3,2021,XOF,,,,,,15213000000.0,,,32122000000.0,16481000000.0,-115000000.0,306613000000.0,546717000000.0,15713000000.0,
BOAC,T3,2020,XOF,,,,,,11781000000.0,,,30700000000.0,15973000000.0,-3500000000.0,289803000000.0,416656000000.0,12349000000.0,
BOAC,T3,2019,XOF,,,,,,9556000000.0,,,26040000000.0,,,298463000000.0,424191000000.0,10006000000.0,
